timestamp,close,high,low,trade_count,open,volume,vwap
2026-03-02 14:30:00+00:00,258.24,258.27,257.34,7102,257.36,975705,257.68
2026-03-02 14:31:00+00:00,258.36,258.65,257.95,5557,258.25,600489,258.36
2026-03-02 14:32:00+00:00,258.52,258.86,258.29,3876,258.34,459350,258.48
2026-03-02 14:33:00+00:00,258.65,258.74,258.33,3540,258.54,417175,258.53
2026-03-02 14:34:00+00:00,258.9,258.99,258.56,1827,258.6,151119,258.86
2026-03-02 14:35:00+00:00,259.28,259.34,258.9,3674,258.9,267462,259.07
2026-03-02 14:36:00+00:00,259.14,259.45,259.1,4623,259.26,310705,259.3
2026-03-02 14:37:00+00:00,259.58,259.79,259.14,3782,259.14,245485,259.49
2026-03-02 14:38:00+00:00,258.86,259.64,258.69,4224,259.55,288611,259.01
2026-03-02 14:39:00+00:00,258.91,259.01,258.46,5894,258.86,412638,258.69
2026-03-02 14:40:00+00:00,258.55,259.18,258.48,5229,258.89,387356,258.75
2026-03-02 14:41:00+00:00,258.73,259.06,258.54,2874,258.59,201804,258.82
2026-03-02 14:42:00+00:00,258.69,259.09,258.68,2370,258.76,171253,258.95
2026-03-02 14:43:00+00:00,258.66,258.94,258.54,2549,258.72,192801,258.73
2026-03-02 14:44:00+00:00,258.94,259.12,258.66,1433,258.66,101876,258.92
2026-03-02 14:45:00+00:00,259.17,259.36,258.76,2017,258.87,166562,259.06
2026-03-02 14:46:00+00:00,259.19,259.43,259.04,1487,259.18,195602,259.24
2026-03-02 14:47:00+00:00,259.32,259.48,259.16,1457,259.16,135723,259.35
2026-03-02 14:48:00+00:00,259.17,259.41,259.05,2535,259.34,188641,259.19
2026-03-02 14:49:00+00:00,259.2,259.29,259.01,2163,259.14,167280,259.15
2026-03-02 14:50:00+00:00,258.98,259.21,258.79,2375,259.19,250448,259.01
2026-03-02 14:51:00+00:00,259.09,259.19,258.81,3806,258.98,329825,259.05
2026-03-02 14:52:00+00:00,258.83,259.08,258.51,3508,259.07,253876,258.77
2026-03-02 14:53:00+00:00,258.84,259.01,258.68,2614,258.84,184513,258.85
2026-03-02 14:54:00+00:00,259.04,259.15,258.8,2601,258.84,218062,258.98
2026-03-02 14:55:00+00:00,259.13,259.2,258.88,2451,259.01,156417,259.05
2026-03-02 14:56:00+00:00,259.04,259.17,258.77,2837,259.09,247601,258.96
2026-03-02 14:57:00+00:00,259.05,259.16,258.76,2205,259.04,229781,258.99
2026-03-02 14:58:00+00:00,259.22,259.32,258.95,1489,259.05,219534,259.14
2026-03-02 14:59:00+00:00,259.39,259.45,259.12,682,259.19,62826,259.3
2026-03-02 15:00:00+00:00,259.04,259.52,259.03,2905,259.35,369364,259.24
2026-03-02 15:01:00+00:00,259.66,259.71,259.02,1299,259.07,108657,259.38
2026-03-02 15:02:00+00:00,259.95,260.05,259.58,1609,259.65,159703,259.86
2026-03-02 15:03:00+00:00,260.29,260.3,259.84,2944,259.95,233037,260.05
2026-03-02 15:04:00+00:00,260.49,260.5,260.17,2575,260.3,212765,260.31
2026-03-02 15:05:00+00:00,260.81,260.87,260.5,2776,260.52,195508,260.65
2026-03-02 15:06:00+00:00,260.72,260.88,260.51,2472,260.79,199567,260.67
2026-03-02 15:07:00+00:00,261.19,261.24,260.7,2339,260.72,178548,261.0
2026-03-02 15:08:00+00:00,261.06,261.23,260.9,3317,261.21,274942,261.05
2026-03-02 15:09:00+00:00,260.69,261.09,260.59,3115,261.07,428658,260.8
2026-03-02 15:10:00+00:00,261.13,261.14,260.69,2905,260.69,253016,260.96
2026-03-02 15:11:00+00:00,261.27,261.37,261.07,2713,261.12,195373,261.27
2026-03-02 15:12:00+00:00,261.25,261.4,261.22,2296,261.28,248037,261.3
2026-03-02 15:13:00+00:00,261.43,261.44,261.19,1897,261.27,142177,261.33
2026-03-02 15:14:00+00:00,261.53,261.63,261.32,2234,261.43,165308,261.5
2026-03-02 15:15:00+00:00,261.27,261.56,261.13,2796,261.51,185261,261.25
2026-03-02 15:16:00+00:00,261.36,261.51,261.12,2426,261.32,182739,261.3
2026-03-02 15:17:00+00:00,261.3,261.62,261.3,4390,261.37,386717,261.48
2026-03-02 15:18:00+00:00,261.05,261.34,260.94,3264,261.28,271259,261.13
2026-03-02 15:19:00+00:00,260.84,261.12,260.8,4302,261.04,454422,260.92
2026-03-02 15:20:00+00:00,260.76,261.03,260.67,5398,260.85,882844,260.81
2026-03-02 15:21:00+00:00,260.41,260.84,260.4,3938,260.77,298375,260.64
2026-03-02 15:22:00+00:00,260.23,260.48,260.05,5480,260.41,514388,260.24
2026-03-02 15:23:00+00:00,260.73,260.87,260.22,2988,260.28,210812,260.61
2026-03-02 15:24:00+00:00,260.58,260.78,260.3,2857,260.72,217857,260.5
2026-03-02 15:25:00+00:00,260.4,260.77,260.36,3037,260.61,420100,260.6
2026-03-02 15:26:00+00:00,260.75,260.91,260.4,2217,260.41,212832,260.71
2026-03-02 15:27:00+00:00,260.69,260.91,260.69,2036,260.76,130096,260.8
2026-03-02 15:28:00+00:00,260.83,260.93,260.69,1868,260.69,120258,260.81
2026-03-02 15:29:00+00:00,260.76,260.9,260.6,1631,260.78,168392,260.73
2026-03-02 15:30:00+00:00,260.79,261.1,260.66,2393,260.77,173025,260.9
2026-03-02 15:31:00+00:00,260.69,260.86,260.54,1878,260.8,124076,260.71
2026-03-02 15:32:00+00:00,260.06,260.69,260.02,2408,260.68,166074,260.3
2026-03-02 15:33:00+00:00,259.99,260.14,259.94,2257,260.06,139950,260.03
2026-03-02 15:34:00+00:00,260.16,260.33,259.94,2546,260.01,182352,260.16
2026-03-02 15:35:00+00:00,260.14,260.23,260.02,1962,260.16,125379,260.13
2026-03-02 15:36:00+00:00,260.23,260.23,259.96,2381,260.13,159670,260.06
2026-03-02 15:37:00+00:00,260.42,260.48,260.14,2416,260.23,140445,260.28
2026-03-02 15:38:00+00:00,260.81,260.83,260.43,1690,260.43,112260,260.67
2026-03-02 15:39:00+00:00,261.19,261.19,260.76,1946,260.77,151399,261.0
2026-03-02 15:40:00+00:00,260.76,261.19,260.72,2991,261.19,294173,261.03
2026-03-02 15:41:00+00:00,261.08,261.15,260.74,1648,260.74,100118,260.98
2026-03-02 15:42:00+00:00,261.06,261.18,260.97,1499,261.08,107682,261.07
2026-03-02 15:43:00+00:00,261.28,261.35,261.04,1587,261.07,108280,261.2
2026-03-02 15:44:00+00:00,261.46,261.49,261.24,2191,261.27,212549,261.38
2026-03-02 15:45:00+00:00,261.39,261.47,261.29,2082,261.46,156467,261.41
2026-03-02 15:46:00+00:00,261.44,261.48,261.24,1731,261.39,119511,261.35
2026-03-02 15:47:00+00:00,261.36,261.6,261.36,1978,261.44,145411,261.48
2026-03-02 15:48:00+00:00,261.45,261.49,261.21,1667,261.36,112958,261.35
