timestamp,close,high,low,trade_count,open,volume,vwap
2026-03-02 14:30:00+00:00,87.75,87.82,87.58,7809,87.62,596355,87.681783
2026-03-02 14:31:00+00:00,87.67,87.81,87.635,2702,87.77,179085,87.721361
2026-03-02 14:32:00+00:00,87.2677,87.68,87.21,3421,87.67,277183,87.456264
2026-03-02 14:33:00+00:00,87.21,87.275,87.105,2230,87.27,178849,87.193792
2026-03-02 14:34:00+00:00,86.99,87.2422,86.97,2661,87.21,215919,87.113654
2026-03-02 14:35:00+00:00,87.08,87.17,86.925,4086,86.984,354681,87.053807
2026-03-02 14:36:00+00:00,87.0,87.11,86.98,2316,87.08,202109,87.068151
2026-03-02 14:37:00+00:00,87.1,87.17,86.95,2955,87.01,241143,87.051836
2026-03-02 14:38:00+00:00,87.18,87.21,86.95,3368,87.09,266786,87.097221
2026-03-02 14:39:00+00:00,87.08,87.17,87.08,1651,87.17,125945,87.13373
2026-03-02 14:40:00+00:00,87.155,87.22,87.09,1938,87.09,132873,87.148524
2026-03-02 14:41:00+00:00,87.17,87.21,87.1,1563,87.16,117885,87.158258
2026-03-02 14:42:00+00:00,86.915,87.31,86.87,2529,87.165,229009,87.085236
2026-03-02 14:43:00+00:00,87.08,87.085,86.89,1518,86.925,161458,86.97746
2026-03-02 14:44:00+00:00,87.12,87.265,87.075,1436,87.1,143065,87.158373
2026-03-02 14:45:00+00:00,86.825,87.13,86.81,1417,87.11,85566,86.968701
2026-03-02 14:46:00+00:00,86.6201,86.88,86.55,2171,86.83,142234,86.70613
2026-03-02 14:47:00+00:00,86.55,86.67,86.49,2061,86.62,180269,86.557412
2026-03-02 14:48:00+00:00,86.4709,86.55,86.42,1788,86.54,111007,86.481748
2026-03-02 14:49:00+00:00,86.46,86.58,86.4274,1658,86.49,188779,86.49577
2026-03-02 14:50:00+00:00,86.42,86.48,86.34,1606,86.44,96542,86.399589
2026-03-02 14:51:00+00:00,86.47,86.53,86.34,1272,86.44,83614,86.465815
2026-03-02 14:52:00+00:00,86.56,86.7,86.48,2552,86.48,173335,86.55249
2026-03-02 14:53:00+00:00,86.235,86.68,86.21,2456,86.55,169769,86.410334
2026-03-02 14:54:00+00:00,86.3805,86.43,86.22,1137,86.235,89907,86.351752
2026-03-02 14:55:00+00:00,86.465,86.47,86.33,752,86.385,37745,86.38736
2026-03-02 14:56:00+00:00,86.6499,86.67,86.45,1240,86.49,77509,86.598409
2026-03-02 14:57:00+00:00,86.585,86.68,86.53,682,86.655,43416,86.593119
2026-03-02 14:58:00+00:00,86.6999,86.73,86.575,804,86.5868,52118,86.658845
2026-03-02 14:59:00+00:00,86.56,86.7,86.56,431,86.685,25453,86.6392
2026-03-02 15:00:00+00:00,86.63,86.635,86.4,1177,86.57,54229,86.502443
2026-03-02 15:01:00+00:00,86.6387,86.65,86.5,817,86.61,40412,86.581032
2026-03-02 15:02:00+00:00,86.81,86.87,86.67,1354,86.67,72573,86.781145
2026-03-02 15:03:00+00:00,86.9149,86.93,86.795,1385,86.8089,83226,86.88202
2026-03-02 15:04:00+00:00,86.7793,86.93,86.76,1223,86.93,76312,86.826409
2026-03-02 15:05:00+00:00,86.845,86.88,86.725,1137,86.76,69001,86.810121
2026-03-02 15:06:00+00:00,86.87,86.87,86.76,859,86.84,49125,86.809312
2026-03-02 15:07:00+00:00,86.93,87.01,86.82,1058,86.875,65361,86.910244
2026-03-02 15:08:00+00:00,86.88,86.96,86.81,678,86.93,42740,86.876553
2026-03-02 15:09:00+00:00,86.98,87.0,86.86,1006,86.89,60627,86.916946
2026-03-02 15:10:00+00:00,86.85,87.04,86.84,850,86.98,52236,86.964707
2026-03-02 15:11:00+00:00,86.94,86.97,86.85,984,86.865,119958,86.89138
2026-03-02 15:12:00+00:00,86.91,87.02,86.87,1168,86.96,131816,86.928134
2026-03-02 15:13:00+00:00,86.7301,86.92,86.68,942,86.9,62997,86.75842
2026-03-02 15:14:00+00:00,86.99,86.99,86.685,912,86.735,51054,86.866589
2026-03-02 15:15:00+00:00,87.14,87.24,87.0,1665,87.0,89966,87.142949
2026-03-02 15:16:00+00:00,87.06,87.1757,87.04,929,87.14,59280,87.114165
2026-03-02 15:17:00+00:00,86.8068,87.1145,86.79,1183,87.06,84699,86.948045
2026-03-02 15:18:00+00:00,86.88,86.93,86.72,2888,86.8,188020,86.8297
2026-03-02 15:19:00+00:00,86.97,87.04,86.89,1059,86.9,87453,86.974681
2026-03-02 15:20:00+00:00,87.08,87.17,86.95,2073,86.97,155278,87.079039
2026-03-02 15:21:00+00:00,87.09,87.105,87.03,1002,87.075,61770,87.07963
2026-03-02 15:22:00+00:00,87.3,87.37,87.09,2335,87.09,150030,87.245511
2026-03-02 15:23:00+00:00,87.2,87.34,87.2,1091,87.31,78138,87.257071
2026-03-02 15:24:00+00:00,87.19,87.26,87.1,1046,87.2,65796,87.194911
