timestamp,close,high,low,trade_count,open,volume,vwap
2026-03-02 14:30:00+00:00,599.84,599.86,597.99,26199,598.88,1367975,598.925046
2026-03-02 14:31:00+00:00,601.35,601.59,599.86,8396,599.87,538865,600.659081
2026-03-02 14:32:00+00:00,602.2,602.24,600.91,5126,601.35,334659,601.533189
2026-03-02 14:33:00+00:00,602.35,602.86,602.14,4884,602.23,255361,602.533598
2026-03-02 14:34:00+00:00,603.49,603.87,602.19,5721,602.36,341873,603.159067
2026-03-02 14:35:00+00:00,603.7,603.84,603.21,9192,603.5,554913,603.518313
2026-03-02 14:36:00+00:00,604.02,604.24,603.64,9067,603.7025,494999,603.934226
2026-03-02 14:37:00+00:00,603.86,604.74,603.86,8853,603.99,516044,604.400485
2026-03-02 14:38:00+00:00,603.66,604.2,603.38,7666,603.86,479543,603.717924
2026-03-02 14:39:00+00:00,602.8,603.95,602.58,7275,603.66,594559,603.153455
2026-03-02 14:40:00+00:00,602.9,603.85,602.75,5251,602.78,338086,603.291167
2026-03-02 14:41:00+00:00,602.9035,603.35,602.73,4055,602.92,238629,603.001355
2026-03-02 14:42:00+00:00,603.34,603.69,602.88,4023,602.91,199938,603.348001
2026-03-02 14:43:00+00:00,602.95,603.86,602.73,5977,603.3159,284754,603.213131
2026-03-02 14:44:00+00:00,603.6,604.01,602.8,6244,602.92,286711,603.547085
2026-03-02 14:45:00+00:00,604.1701,604.65,603.08,6465,603.56,314114,604.114223
2026-03-02 14:46:00+00:00,604.11,604.47,603.7,5445,604.2,242169,604.096862
2026-03-02 14:47:00+00:00,604.33,604.47,603.66,5897,604.11,291704,604.082899
2026-03-02 14:48:00+00:00,604.61,604.99,604.3,6293,604.34,499155,604.683217
2026-03-02 14:49:00+00:00,604.9,605.04,604.42,5306,604.59,264635,604.804306
2026-03-02 14:50:00+00:00,604.35,605.07,604.2,5920,604.9,288567,604.675453
2026-03-02 14:51:00+00:00,604.02,604.77,603.96,6902,604.37,368175,604.338071
2026-03-02 14:52:00+00:00,603.4966,604.1,603.17,7365,604.02,383719,603.552113
2026-03-02 14:53:00+00:00,603.16,603.7099,602.94,5678,603.48,277545,603.3172
2026-03-02 14:54:00+00:00,603.73,603.89,603.08,4071,603.19,184229,603.656172
2026-03-02 14:55:00+00:00,603.98,604.3,603.64,4595,603.73,217841,604.022592
2026-03-02 14:56:00+00:00,603.7999,604.14,603.16,5147,604.01,237187,603.611531
2026-03-02 14:57:00+00:00,603.93,604.2262,603.66,3566,603.81,132543,603.902769
2026-03-02 14:58:00+00:00,604.13,604.36,603.53,3385,603.92,120544,603.90479
2026-03-02 14:59:00+00:00,604.1201,604.25,603.79,3493,604.08,115934,604.02323
2026-03-02 15:00:00+00:00,602.83,604.21,602.77,6838,604.17,294301,603.536547
2026-03-02 15:01:00+00:00,604.535,604.56,602.8225,5086,602.8319,221454,603.726984
2026-03-02 15:02:00+00:00,604.5,604.96,604.43,5836,604.51,244562,604.670664
2026-03-02 15:03:00+00:00,605.0426,605.1,604.21,6288,604.47,307392,604.659669
2026-03-02 15:04:00+00:00,604.83,605.27,604.33,6290,605.04,303082,604.74878
2026-03-02 15:05:00+00:00,604.84,605.205,604.43,4794,604.82,223772,604.74094
2026-03-02 15:06:00+00:00,604.91,605.18,604.54,4601,604.84,213725,604.902081
2026-03-02 15:07:00+00:00,605.45,605.54,604.9,4541,604.91,226830,605.262967
2026-03-02 15:08:00+00:00,605.5,605.68,605.06,5323,605.46,253072,605.426286
2026-03-02 15:09:00+00:00,605.165,605.603,604.98,5051,605.495,212150,605.287358
2026-03-02 15:10:00+00:00,605.58,605.67,605.12,4310,605.18,195242,605.327124
2026-03-02 15:11:00+00:00,605.89,606.06,605.51,4492,605.59,224931,605.80613
2026-03-02 15:12:00+00:00,605.8499,606.06,605.63,4935,605.8899,241810,605.853171
2026-03-02 15:13:00+00:00,606.05,606.26,605.78,4713,605.86,218863,606.036013
2026-03-02 15:14:00+00:00,605.8671,606.15,605.71,4997,606.06,240082,605.935099
2026-03-02 15:15:00+00:00,605.49,606.025,605.34,5134,605.88,236929,605.663039
2026-03-02 15:16:00+00:00,605.79,606.12,605.45,4152,605.5,193998,605.819627
2026-03-02 15:17:00+00:00,605.61,606.23,605.6,4278,605.76,380429,605.923157
2026-03-02 15:18:00+00:00,605.23,605.77,605.11,4586,605.62,213749,605.395388
2026-03-02 15:19:00+00:00,605.41,605.52,605.015,4014,605.22,198126,605.219141
2026-03-02 15:20:00+00:00,605.59,605.73,605.22,3840,605.43,166740,605.514869
2026-03-02 15:21:00+00:00,604.57,605.6,604.5401,5523,605.58,282778,604.934013
2026-03-02 15:22:00+00:00,604.39,604.82,604.31,4450,604.58,232894,604.577042
2026-03-02 15:23:00+00:00,605.55,605.68,604.36,4602,604.42,254840,605.209354
2026-03-02 15:24:00+00:00,605.42,605.57,604.91,3758,605.54,185736,605.229352
2026-03-02 15:25:00+00:00,605.14,605.8,605.06,4309,605.47,195237,605.481407
2026-03-02 15:26:00+00:00,605.11,605.59,604.92,3663,605.15,168431,605.232997
2026-03-02 15:27:00+00:00,604.71,605.38,604.64,3799,605.1298,177089,605.017738
2026-03-02 15:28:00+00:00,604.56,604.95,604.34,3338,604.66,155255,604.618507
2026-03-02 15:29:00+00:00,604.65,604.73,604.07,3768,604.5465,171493,604.357039
2026-03-02 15:30:00+00:00,604.64,605.11,604.55,4486,604.63,223974,604.770037
2026-03-02 15:31:00+00:00,604.45,604.72,604.12,4137,604.64,189499,604.434551
2026-03-02 15:32:00+00:00,603.87,604.53,603.78,4531,604.45,229850,604.096985
2026-03-02 15:33:00+00:00,603.915,604.21,603.72,5602,603.85,327684,603.941468
2026-03-02 15:34:00+00:00,604.32,604.63,603.87,5084,603.92,258384,604.249247
2026-03-02 15:35:00+00:00,604.36,604.56,604.04,4392,604.32,219564,604.284234
2026-03-02 15:36:00+00:00,604.33,604.43,603.72,4526,604.375,212023,604.097109
2026-03-02 15:37:00+00:00,604.63,604.81,604.25,5320,604.33,278163,604.565518
2026-03-02 15:38:00+00:00,605.16,605.27,604.6,6096,604.63,359559,605.042673
2026-03-02 15:39:00+00:00,605.54,605.55,605.04,4624,605.13,277315,605.240775
2026-03-02 15:40:00+00:00,605.3,605.54,604.98,4512,605.525,233440,605.278166
2026-03-02 15:41:00+00:00,605.63,605.83,605.22,4791,605.29,247274,605.565788
2026-03-02 15:42:00+00:00,605.62,605.86,605.45,3451,605.63,172187,605.666861
2026-03-02 15:43:00+00:00,605.74,605.95,605.54,6072,605.62,160444,605.718614
2026-03-02 15:44:00+00:00,606.04,606.085,605.67,10303,605.71,265032,605.891839
2026-03-02 15:45:00+00:00,605.99,606.16,605.88,9870,606.03,221208,606.030345
2026-03-02 15:46:00+00:00,606.03,606.13,605.879,3503,605.99,155258,605.990906
2026-03-02 15:47:00+00:00,606.02,606.48,605.95,5280,606.03,295288,606.204437
2026-03-02 15:48:00+00:00,605.52,606.03,605.46,4533,606.02,228594,605.692329
2026-03-02 15:49:00+00:00,605.7,605.9,605.37,3735,605.51,175311,605.574769
2026-03-02 15:50:00+00:00,606.06,606.235,605.58,3361,605.7,186288,605.977926
2026-03-02 15:51:00+00:00,605.85,606.12,605.81,2873,606.06,119905,605.997032
2026-03-02 15:52:00+00:00,605.675,605.93,605.65,2736,605.86,205634,605.826373
2026-03-02 15:53:00+00:00,605.21,605.65,605.15,3829,605.65,184818,605.351346
2026-03-02 15:54:00+00:00,604.85,605.26,604.67,4033,605.215,193425,604.895378
2026-03-02 15:55:00+00:00,605.13,605.15,604.56,4636,604.84,221160,604.851854
2026-03-02 15:56:00+00:00,605.71,605.75,605.13,3327,605.15,372743,605.52329
2026-03-02 15:57:00+00:00,605.745,605.81,605.54,3101,605.7,137449,605.678528
2026-03-02 15:58:00+00:00,605.6923,605.88,605.53,2874,605.72,123853,605.716341
