timestamp,close,high,low,trade_count,open,volume,vwap
2026-03-02 14:30:00+00:00,679.19,679.29,678.02,21199,678.7,982461,678.73327
2026-03-02 14:31:00+00:00,680.0,680.22,679.112,7055,679.18,455924,679.709667
2026-03-02 14:32:00+00:00,680.41,680.7,679.7,5520,680.02,478381,680.197904
2026-03-02 14:33:00+00:00,680.4901,680.81,680.34,7902,680.42,516693,680.606575
2026-03-02 14:34:00+00:00,681.2,681.48,680.3338,6422,680.49,452164,680.949351
2026-03-02 14:35:00+00:00,681.54,681.63,680.98,6105,681.21,347671,681.267569
2026-03-02 14:36:00+00:00,681.75,682.01,681.51,7170,681.55,491644,681.72528
2026-03-02 14:37:00+00:00,681.86,682.46,681.74,6623,681.75,502228,682.179475
2026-03-02 14:38:00+00:00,681.6,682.0,681.25,6084,681.84,411707,681.621987
2026-03-02 14:39:00+00:00,681.0088,681.82,680.83,7994,681.6,543603,681.231694
2026-03-02 14:40:00+00:00,681.09,681.8,680.98,4605,680.995,286240,681.27843
2026-03-02 14:41:00+00:00,681.4,681.77,681.06,3010,681.11,162645,681.379131
2026-03-02 14:42:00+00:00,681.79,681.96,681.36,3495,681.37,235310,681.78408
2026-03-02 14:43:00+00:00,681.46,682.12,681.28,4539,681.79,292157,681.674512
2026-03-02 14:44:00+00:00,682.08,682.3386,681.38,4439,681.47,282621,681.953332
2026-03-02 14:45:00+00:00,682.51,682.83,681.7514,4729,682.07,290254,682.400085
2026-03-02 14:46:00+00:00,682.6,682.9551,682.22,3670,682.53,348400,682.674445
2026-03-02 14:47:00+00:00,682.7589,682.86,682.3187,3449,682.59,239322,682.621159
2026-03-02 14:48:00+00:00,682.9033,683.23,682.65,4417,682.79,486340,682.94601
2026-03-02 14:49:00+00:00,683.22,683.37,682.8,5120,682.9,344310,683.078828
2026-03-02 14:50:00+00:00,682.86,683.31,682.75,4995,683.23,419093,683.044343
2026-03-02 14:51:00+00:00,682.585,683.11,682.539,4635,682.88,282743,682.819825
2026-03-02 14:52:00+00:00,682.1399,682.68,681.91,5820,682.58,418598,682.225311
2026-03-02 14:53:00+00:00,682.09,682.42,681.88,4019,682.14,281635,682.143898
2026-03-02 14:54:00+00:00,682.51,682.69,682.0526,3846,682.09,233621,682.473553
2026-03-02 14:55:00+00:00,682.53,682.79,682.44,3765,682.51,191703,682.599015
2026-03-02 14:56:00+00:00,682.48,682.6,681.97,4146,682.56,228644,682.288802
2026-03-02 14:57:00+00:00,682.66,682.72,682.33,3554,682.5,210246,682.527825
2026-03-02 14:58:00+00:00,682.86,683.11,682.39,3224,682.62,202376,682.745583
2026-03-02 14:59:00+00:00,683.0,683.09,682.58,3159,682.86,191349,682.856437
2026-03-02 15:00:00+00:00,682.03,683.01,681.96,7361,682.95,294990,682.588322
2026-03-02 15:01:00+00:00,683.4,683.49,682.07,6998,682.09,305146,682.817043
2026-03-02 15:02:00+00:00,683.57,683.8182,683.37,7629,683.42,284481,683.613318
2026-03-02 15:03:00+00:00,684.28,684.31,683.54,9856,683.605,483860,683.855433
2026-03-02 15:04:00+00:00,684.24,684.46,683.87,4109,684.32,256983,684.14452
2026-03-02 15:05:00+00:00,684.32,684.49,683.89,4505,684.26,251010,684.166673
2026-03-02 15:06:00+00:00,684.335,684.495,684.03,4672,684.31,297178,684.216835
2026-03-02 15:07:00+00:00,684.8,684.87,684.33,5434,684.335,349792,684.571838
2026-03-02 15:08:00+00:00,684.67,684.94,684.34,5363,684.79,360137,684.681804
2026-03-02 15:09:00+00:00,684.21,684.72,684.12,5547,684.67,372226,684.357343
2026-03-02 15:10:00+00:00,684.59,684.61,684.21,4226,684.22,263459,684.4023
2026-03-02 15:11:00+00:00,684.95,685.09,684.52,6194,684.54,406300,684.880745
2026-03-02 15:12:00+00:00,684.985,685.09,684.82,4661,684.95,264721,684.981541
2026-03-02 15:13:00+00:00,685.03,685.325,684.93,5629,684.985,353986,685.117541
2026-03-02 15:14:00+00:00,684.9197,685.12,684.78,5420,685.03,326054,684.940245
2026-03-02 15:15:00+00:00,684.735,685.09,684.61,4957,684.935,292582,684.796081
2026-03-02 15:16:00+00:00,684.97,685.25,684.69,4516,684.735,261726,684.985987
2026-03-02 15:17:00+00:00,684.8,685.36,684.79,4580,684.97,264016,685.15418
2026-03-02 15:18:00+00:00,684.51,685.025,684.452,4869,684.81,292580,684.704219
2026-03-02 15:19:00+00:00,684.65,684.77,684.32,5298,684.51,315651,684.506886
2026-03-02 15:20:00+00:00,684.65,684.83,684.44,4207,684.615,242859,684.653453
2026-03-02 15:21:00+00:00,683.915,684.69,683.9,5438,684.65,290316,684.226495
2026-03-02 15:22:00+00:00,683.62,684.11,683.49,5439,683.92,302738,683.789834
2026-03-02 15:23:00+00:00,684.44,684.63,683.61,3859,683.65,253900,684.261454
2026-03-02 15:24:00+00:00,684.14,684.4451,683.82,3719,684.39,209713,684.082068
2026-03-02 15:25:00+00:00,683.91,684.42,683.86,3650,684.14,213009,684.201286
2026-03-02 15:26:00+00:00,683.86,684.27,683.75,3233,683.92,147943,683.970538
2026-03-02 15:27:00+00:00,683.48,684.095,683.45,5496,683.83,307382,683.73371
2026-03-02 15:28:00+00:00,683.52,683.7599,683.33,3262,683.47,175153,683.506485
2026-03-02 15:29:00+00:00,683.43,683.57,683.07,2959,683.47,180491,683.297917
2026-03-02 15:30:00+00:00,683.43,683.87,683.33,3414,683.42,185609,683.541183
2026-03-02 15:31:00+00:00,683.2901,683.48,683.04,3000,683.42,156484,683.262019
2026-03-02 15:32:00+00:00,682.64,683.3799,682.61,3568,683.31,186439,682.907361
2026-03-02 15:33:00+00:00,682.66,682.89,682.55,4026,682.64,215161,682.688378
2026-03-02 15:34:00+00:00,682.97,683.24,682.63,4173,682.66,242041,682.955511
2026-03-02 15:35:00+00:00,682.91,683.08,682.75,2328,682.99,107944,682.919469
2026-03-02 15:36:00+00:00,682.86,682.95,682.42,3768,682.9,192159,682.689628
2026-03-02 15:37:00+00:00,683.135,683.21,682.78,4391,682.85,309193,683.003073
2026-03-02 15:38:00+00:00,683.59,683.66,683.1,3217,683.145,211534,683.448324
2026-03-02 15:39:00+00:00,683.93,683.979,683.52,3100,683.53,194192,683.735421
2026-03-02 15:40:00+00:00,683.59,683.92,683.45,3446,683.92,177253,683.676314
2026-03-02 15:41:00+00:00,683.94,684.15,683.54,2622,683.54,132811,683.912033
2026-03-02 15:42:00+00:00,683.9,684.14,683.8,2202,683.98,181497,683.960677
2026-03-02 15:43:00+00:00,684.09,684.17,683.77,2264,683.92,114409,683.909906
