timestamp,open,high,low,close,volume
2025-05-05 14:30:00+00:00,485.865,485.94,485.7519,485.88,10054.0
2025-05-05 14:30:12+00:00,485.87,485.9298,485.7,485.774,8858.0
2025-05-05 14:30:24+00:00,485.764,485.8147,485.659,485.73,7712.0
2025-05-05 14:30:36+00:00,485.8219,485.8219,485.58,485.71,3833.0
2025-05-05 14:30:48+00:00,485.715,485.7484,485.66,485.69,3806.0
2025-05-05 14:31:00+00:00,485.71,485.7715,485.5303,485.65,5572.0
2025-05-05 14:31:12+00:00,485.65,485.7,485.575,485.69,5033.0
2025-05-05 14:31:24+00:00,485.686,485.7487,485.5699,485.6001,18565.0
2025-05-05 14:31:36+00:00,485.615,485.72,485.59,485.61,4354.0
2025-05-05 14:31:48+00:00,485.64,485.69,485.57,485.6612,2946.0
2025-05-05 14:32:00+00:00,485.66,485.75,485.2,485.6651,6335.0
2025-05-05 14:32:12+00:00,485.58,485.6623,485.0,485.59,16301.0
2025-05-05 14:32:24+00:00,485.5792,485.59,485.43,485.46,6985.0
2025-05-05 14:32:36+00:00,485.46,485.63,485.44,485.515,5950.0
2025-05-05 14:32:48+00:00,485.5497,485.5497,485.4,485.41,14036.0
2025-05-05 14:33:00+00:00,485.43,485.5197,485.23,485.3497,30971.0
2025-05-05 14:33:12+00:00,485.34,485.5296,485.27,485.305,11951.0
2025-05-05 14:33:24+00:00,485.31,485.3946,485.28,485.31,10507.0
2025-05-05 14:33:36+00:00,485.33,485.5632,485.0,485.015,22212.0
2025-05-05 14:33:48+00:00,485.0298,485.3766,484.97,485.217,33340.0
2025-05-05 14:34:00+00:00,485.23,485.3,484.99,485.04,21487.0
2025-05-05 14:34:12+00:00,485.04,485.06,484.89,484.94,31631.0
2025-05-05 14:34:24+00:00,484.93,485.18,484.9013,485.12,17261.0
2025-05-05 14:34:36+00:00,485.11,485.11,484.84,484.92,16538.0
2025-05-05 14:34:48+00:00,484.91,485.3089,484.85,484.88,11221.0
2025-05-05 14:35:00+00:00,484.8703,485.05,484.842,484.99,20751.0
2025-05-05 14:35:12+00:00,484.98,485.17,484.92,485.14,31694.0
2025-05-05 14:35:24+00:00,485.16,486.5,484.96,484.965,40765.0
2025-05-05 14:35:36+00:00,484.96,484.995,484.82,484.96,20910.0
2025-05-05 14:35:48+00:00,484.9475,484.97,484.84,484.89,18999.0
2025-05-05 14:36:00+00:00,484.89,485.4066,484.65,484.875,48147.0
2025-05-05 14:36:12+00:00,484.8593,484.9458,484.63,484.9,22887.0
2025-05-05 14:36:24+00:00,484.91,485.11,484.8449,485.11,15650.0
2025-05-05 14:36:36+00:00,485.1,485.215,485.06,485.18,16947.0
2025-05-05 14:36:48+00:00,485.18,485.21,484.96,484.965,12845.0
2025-05-05 14:37:00+00:00,484.97,485.16,484.96,485.14,12502.0
2025-05-05 14:37:12+00:00,485.145,485.34,485.09,485.32,13908.0
2025-05-05 14:37:24+00:00,485.31,485.56,485.2999,485.5307,31010.0
2025-05-05 14:37:36+00:00,485.54,485.6,485.3298,485.46,23980.0
2025-05-05 14:37:48+00:00,485.4557,485.5675,485.41,485.51,10312.0
2025-05-05 14:38:00+00:00,485.51,485.76,485.5088,485.74,24688.0
2025-05-05 14:38:12+00:00,485.75,485.88,485.7301,485.83,27763.0
2025-05-05 14:38:24+00:00,485.84,485.87,485.66,485.68,12209.0
2025-05-05 14:38:36+00:00,485.695,485.83,485.68,485.7927,13635.0
2025-05-05 14:38:48+00:00,485.7812,485.9,485.3756,485.9,15783.0
2025-05-05 14:39:00+00:00,485.9,486.31,485.771,486.281,33437.0
2025-05-05 14:39:12+00:00,486.3,486.31,486.1448,486.23,14599.0
2025-05-05 14:39:24+00:00,486.23,486.23,486.09,486.14,14441.0
2025-05-05 14:39:36+00:00,486.15,486.18,486.05,486.1,10642.0
2025-05-05 14:39:48+00:00,486.1,486.14,486.0402,486.0699,10087.0
2025-05-05 14:40:00+00:00,486.07,486.1,485.3426,486.0,10447.0
2025-05-05 14:40:12+00:00,485.99,486.01,485.413,485.98,5372.0
2025-05-05 14:40:24+00:00,485.9791,486.04,485.9,485.93,9398.0
2025-05-05 14:40:36+00:00,485.9298,486.11,485.4665,486.11,19066.0
2025-05-05 14:40:48+00:00,486.0698,486.2085,485.3704,486.1692,13460.0
2025-05-05 14:41:00+00:00,486.16,486.32,486.15,486.26,14464.0
2025-05-05 14:41:12+00:00,486.245,486.32,485.79,486.29,16139.0
2025-05-05 14:41:24+00:00,486.3,486.52,486.2949,486.39,24191.0
2025-05-05 14:41:36+00:00,486.375,486.38,486.18,486.28,21368.0
2025-05-05 14:41:48+00:00,486.27,486.47,486.27,486.375,21275.0
2025-05-05 14:42:00+00:00,486.37,486.48,486.35,486.4551,13323.0
2025-05-05 14:42:12+00:00,486.41,486.47,486.3798,486.43,9247.0
2025-05-05 14:42:24+00:00,486.4299,486.56,486.41,486.53,18429.0
2025-05-05 14:42:36+00:00,486.54,486.56,486.36,486.42,19219.0
2025-05-05 14:42:48+00:00,486.42,486.47,485.91,485.94,58648.0
2025-05-05 14:43:00+00:00,485.99,486.17,485.89,486.06,25657.0
2025-05-05 14:43:12+00:00,486.055,486.3,486.015,486.2675,12414.0
2025-05-05 14:43:24+00:00,486.27,486.29,486.13,486.24,15167.0
2025-05-05 14:43:36+00:00,486.23,486.29,486.1999,486.24,6339.0
2025-05-05 14:43:48+00:00,486.25,486.25,486.1109,486.135,9187.0
2025-05-05 14:44:00+00:00,486.13,486.2222,486.1,486.17,9197.0
2025-05-05 14:44:12+00:00,486.17,486.27,486.1398,486.22,9251.0
2025-05-05 14:44:24+00:00,486.2293,486.33,486.1853,486.31,3974.0
2025-05-05 14:44:36+00:00,486.3,486.33,486.24,486.3,5506.0
2025-05-05 14:44:48+00:00,486.29,486.37,486.2375,486.3325,102586.0
2025-05-05 14:45:00+00:00,486.3399,486.5,486.2232,486.48,18711.0
2025-05-05 14:45:12+00:00,486.46,486.48,486.2406,486.43,15314.0
2025-05-05 14:45:24+00:00,486.409,486.45,486.35,486.41,11798.0
2025-05-05 14:45:36+00:00,486.42,486.55,486.4,486.51,8614.0
2025-05-05 14:45:48+00:00,486.5099,486.62,486.38,486.42,25394.0
2025-05-05 14:46:00+00:00,486.42,486.55,486.4199,486.5207,12425.0
2025-05-05 14:46:12+00:00,486.52,486.5288,486.36,486.47,17520.0
2025-05-05 14:46:24+00:00,486.465,486.5384,486.3,486.31,15701.0
2025-05-05 14:46:36+00:00,486.3088,486.31,486.21,486.2988,16879.0
2025-05-05 14:46:48+00:00,486.29,489.0894,486.145,486.1793,118157.0
2025-05-05 14:47:00+00:00,486.18,486.41,486.1018,486.37,39499.0
2025-05-05 14:47:12+00:00,486.37,486.52,486.28,486.5188,20376.0
2025-05-05 14:47:24+00:00,486.515,486.54,486.41,486.42,6771.0
2025-05-05 14:47:36+00:00,486.42,486.51,486.42,486.48,8567.0
2025-05-05 14:47:48+00:00,486.49,486.52,486.47,486.49,4280.0
2025-05-05 14:48:00+00:00,486.5,486.54,486.3444,486.43,14433.0
2025-05-05 14:48:12+00:00,486.41,486.5,486.3945,486.46,9274.0
2025-05-05 14:48:24+00:00,486.47,486.61,486.46,486.49,15720.0
2025-05-05 14:48:36+00:00,486.485,486.49,486.38,486.38,13796.0
2025-05-05 14:48:48+00:00,486.38,486.5,486.2763,486.46,12227.0
2025-05-05 14:49:00+00:00,486.51,486.6,486.4655,486.515,11103.0
2025-05-05 14:49:12+00:00,486.51,486.57,486.4043,486.49,3776.0
