timestamp,open,high,low,close,volume
2025-08-13 14:30:00+00:00,644.24,644.3227,644.195,644.2599,47965.0
2025-08-13 14:30:12+00:00,644.25,644.322,644.165,644.1801,33539.0
2025-08-13 14:30:24+00:00,644.18,644.25,644.18,644.2381,19180.0
2025-08-13 14:30:36+00:00,644.23,644.26,644.2,644.21,22846.0
2025-08-13 14:30:48+00:00,644.2,644.262,644.19,644.22,26209.0
2025-08-13 14:31:00+00:00,644.22,644.282,644.205,644.26,33063.0
2025-08-13 14:31:12+00:00,644.26,644.28,644.192,644.215,32493.0
2025-08-13 14:31:24+00:00,644.22,644.248,644.09,644.16,28365.0
2025-08-13 14:31:36+00:00,644.16,644.4397,644.04,644.04,28531.0
2025-08-13 14:31:48+00:00,644.05,644.087,643.868,643.875,65341.0
2025-08-13 14:32:00+00:00,643.9,644.3959,643.8599,643.96,44837.0
2025-08-13 14:32:12+00:00,643.97,644.2155,643.938,644.02,36085.0
2025-08-13 14:32:24+00:00,644.03,644.13,644.01,644.105,32757.0
2025-08-13 14:32:36+00:00,644.13,644.2,644.1,644.155,30274.0
2025-08-13 14:32:48+00:00,644.135,644.16,643.978,643.985,48784.0
2025-08-13 14:33:00+00:00,643.98,644.1442,643.97,643.98,45119.0
2025-08-13 14:33:12+00:00,643.969,644.3148,643.96,644.048,23418.0
2025-08-13 14:33:24+00:00,644.045,644.1155,644.03,644.06,14542.0
2025-08-13 14:33:36+00:00,644.06,644.1,644.009,644.05,20146.0
2025-08-13 14:33:48+00:00,644.05,644.2863,644.0,644.0001,18454.0
2025-08-13 14:34:00+00:00,644.01,644.0974,643.89,643.96,27974.0
2025-08-13 14:34:12+00:00,643.94,644.0942,643.9,643.97,23765.0
2025-08-13 14:34:24+00:00,643.98,644.04,643.96,644.015,19089.0
2025-08-13 14:34:36+00:00,644.0199,644.11,643.99,644.08,16731.0
2025-08-13 14:34:48+00:00,644.0799,644.2281,644.04,644.05,18661.0
2025-08-13 14:35:00+00:00,644.05,644.0819,644.01,644.04,39951.0
2025-08-13 14:35:12+00:00,644.04,644.2113,643.89,643.905,49589.0
