timestamp,open,high,low,close,volume
2026-03-02 14:30:00+00:00,257.81,258.48,257.79,258.31,634053.0
2026-03-02 14:30:12+00:00,258.3,258.415,257.85,258.13,250860.0
2026-03-02 14:30:24+00:00,258.13,258.26,257.84,258.2535,142977.0
2026-03-02 14:30:36+00:00,258.27,258.72,257.85,258.7,62427.0
2026-03-02 14:30:48+00:00,258.68,258.73,258.55,258.69,42601.0
2026-03-02 14:31:00+00:00,258.71,258.78,258.2715,258.64,105049.0
2026-03-02 14:31:12+00:00,258.67,259.025,258.67,258.81,210485.0
2026-03-02 14:31:24+00:00,258.81,258.98,258.75,258.94,133856.0
2026-03-02 14:31:36+00:00,258.93,259.125,258.85,258.91,115531.0
2026-03-02 14:31:48+00:00,258.89,258.8935,258.78,258.7997,35568.0
2026-03-02 14:32:00+00:00,258.8199,258.95,258.75,258.86,137948.0
2026-03-02 14:32:12+00:00,258.86,259.06,258.8,259.06,160170.0
2026-03-02 14:32:24+00:00,259.03,259.1087,258.9652,259.05,32398.0
2026-03-02 14:32:36+00:00,259.05,259.32,258.7797,259.14,39527.0
2026-03-02 14:32:48+00:00,259.14,259.24,258.83,258.98,89307.0
2026-03-02 14:33:00+00:00,259.0,259.09,258.78,259.03,181687.0
2026-03-02 14:33:12+00:00,259.04,259.1,258.94,259.04,124532.0
2026-03-02 14:33:24+00:00,259.0424,259.15,258.965,258.98,60234.0
2026-03-02 14:33:36+00:00,258.9891,259.16,258.95,259.14,29350.0
2026-03-02 14:33:48+00:00,259.16,259.2,259.07,259.1099,21372.0
2026-03-02 14:34:00+00:00,259.06,259.33,259.0037,259.33,30069.0
2026-03-02 14:34:12+00:00,259.31,259.39,259.21,259.29,28991.0
2026-03-02 14:34:24+00:00,259.31,259.4,258.7163,259.32,32632.0
2026-03-02 14:34:36+00:00,259.35,259.46,257.85,259.41,26744.0
2026-03-02 14:34:48+00:00,259.415,259.44,259.31,259.36,32683.0
2026-03-02 14:35:00+00:00,259.36,259.55,258.7728,259.41,83619.0
2026-03-02 14:35:12+00:00,259.4007,259.51,258.7799,259.48,63772.0
2026-03-02 14:35:24+00:00,259.45,259.65,259.44,259.64,48946.0
2026-03-02 14:35:36+00:00,259.63,259.745,258.9794,259.66,25871.0
2026-03-02 14:35:48+00:00,259.67,259.8,259.4198,259.71,45254.0
2026-03-02 14:36:00+00:00,259.7,259.87,259.5513,259.84,53115.0
2026-03-02 14:36:12+00:00,259.83,259.89,259.71,259.75,53887.0
2026-03-02 14:36:24+00:00,259.72,259.92,259.7,259.83,56731.0
2026-03-02 14:36:36+00:00,259.82,259.825,259.62,259.8,82813.0
2026-03-02 14:36:48+00:00,259.805,259.831,259.56,259.6,64159.0
2026-03-02 14:37:00+00:00,259.6,260.0,259.59,259.99,67045.0
2026-03-02 14:37:12+00:00,259.975,259.995,259.7099,259.88,64922.0
2026-03-02 14:37:24+00:00,259.87,260.04,259.3875,260.03,31524.0
2026-03-02 14:37:36+00:00,260.04,260.25,259.3996,260.15,40221.0
2026-03-02 14:37:48+00:00,260.15,260.215,259.4393,260.02,41773.0
2026-03-02 14:38:00+00:00,260.01,260.11,259.52,259.8,40011.0
2026-03-02 14:38:12+00:00,259.8,259.81,259.39,259.42,65996.0
2026-03-02 14:38:24+00:00,259.45,259.6242,259.24,259.26,76193.0
2026-03-02 14:38:36+00:00,259.26,259.6312,259.15,259.38,73790.0
2026-03-02 14:38:48+00:00,259.36,259.6558,259.25,259.32,32621.0
2026-03-02 14:39:00+00:00,259.32,259.6302,259.1,259.1,101124.0
2026-03-02 14:39:12+00:00,259.1,259.5746,258.925,258.94,107978.0
2026-03-02 14:39:24+00:00,258.95,259.5505,258.92,259.0,76589.0
2026-03-02 14:39:36+00:00,259.0,259.5378,258.98,259.3,73093.0
